Rücken-Nr.,Vorname,Nachname,Verein,Position,Links/Rechts-Fuss,Grösse (m),Verein,Geboren,Links/Rechts-Fuss,Grösse (m),Vertragslaenge,V-Jahr,Gehalt/Jahr,2022 Marktwert,2021 Marktwert,1. Transferkosten,1T-Jahr,2. Transferkosten,2T-Jahr,Sosntiges
2,Mateu Morey,Bauza,BVB,Abwehr,Rechts-Fuss,1.73,BVB,2000-03-02,Rechts-Fuss,1.73,5,2019,996000,1500000,7000000,€ 0,2021,€ 0,2020,Jugendzuwachs
4,Nico,Schlotterbeck ,BVB,Abwehr,Links-Fuss,1.91,BVB,1999-12-01,Links-Fuss,1.91,5,2022,224000,33000000,20000000,"€ 20,000,000",2022,€ 0,2021,Vereinswechsel
13,Raphael,Guerreiro ,BVB,Abwehr,Links-Fuss,1.7,BVB,1993-12-22,Links-Fuss,1.7,4,2019,5000000,20000000,40000000,"€ 12,000,000",2016,"€ 2,500,000",2013,Vereinswechsel
14,Nico,Schulz,BVB,Abwehr,Links-Fuss,1.8,BVB,1993-04-01,Links-Fuss,1.8,5,2019,6000000,2000000,7000000,"€ 3,000,000",2019,"€ 25,500,000",2017,Vereinswechsel
15,Mats,Hummels,BVB,Abwehr,Rechts-Fuss,1.91,BVB,1988-12-16,Rechts-Fuss,1.91,4,2019,10000000,6500000,15000000,"€ 35,000,000",2019,"€ 30,500,000",2016,Vereinswechsel
24,Thomas,Meunier,BVB,Abwehr,Rechts-Fuss,1.91,BVB,1991-09-12,Rechts-Fuss,1.91,4,2020,3100000,6500000,18000000,€ 0,2020,"€ 6,000,000",2016,Jugendzuwachs
25,Niklas,Süle,BVB,Abwehr,Rechts-Fuss,1.95,BVB,1995-09-03,Rechts-Fuss,1.95,4,2022,3000000,35000000,37000000,€ 0,2022,"€ 20,000,000",2017,Jugendzuwachs
44,Soumaila,Coulibaly,BVB,Abwehr,Links-Fuss,1.9,BVB,2003-10-14,Links-Fuss,1.9,3,2021,0,900000,750000,€ 0,2021,€ 0,2019,Jugendzuwachs
6,Salih,Özcan ,BVB,Mittelfeld,Rechts-Fuss,1.83,BVB,1998-11-01,Rechts-Fuss,1.83,4,2022,547000,13000000,4000000,"€ 5,000,000",2022,€ 0,2020,Vereinswechsel
7,Giovanni,Reyna,BVB,Mittelfeld,Rechts-Fuss,1.85,BVB,2002-11-13,Rechts-Fuss,1.85,5,2020,876000,35000000,42000000,€ 0,2020,€ 0,2019,Jugendzuwachs
8,Mahmoud,Dahoud,BVB,Mittelfeld,Rechts-Fuss,1.78,BVB,1996-01-01,Rechts-Fuss,1.78,6,2017,4000000,18000000,8500000,"€ 12,000,000",2017,€ 0,2013,Vereinswechsel
10,Thorgan,Hazard,BVB,Mittelfeld,Rechts-Fuss,1.75,BVB,1993-03-29,Rechts-Fuss,1.75,5,2019,5000000,12000000,32000000,"€ 25,500,000",2019,"€ 8,000,000",2015,Vereinswechsel
11,Marco,Reus,BVB,Mittelfeld,Rechts-Fuss,1.8,BVB,1989-05-31,Rechts-Fuss,1.8,5,2018,6600000,11000000,15000000,"€ 17,100,000",2012,"€ 1,000,000",2009,Vereinswechsel
17,Marius,Wolf,BVB,Mittelfeld,Rechts-Fuss,1.87,BVB,1995-05-27,Rechts-Fuss,1.87,6,2018,3300000,6500000,5000000,"€ 2,000,000",2019 (Leihgebühr),"€ 5,000,000",2018,Vereinswechsel
19,Julian,Brandt,BVB,Mittelfeld,Rechts-Fuss,1.85,BVB,1996-05-02,Rechts-Fuss,1.85,5,2019,7000000,25000000,20000000,"€ 25,000,000",2019,"€ 500,000",2014,Vereinswechsel
22,Jude,Bellingham,BVB,Mittelfeld,Rechts-Fuss,1.86,BVB,2003-06-29,Rechts-Fuss,1.86,4,2021,3000000,90000000,75000000,"€ 25,000,000",2020,€ 0,2019,Vereinswechsel
23,Emre,Can,BVB,Mittelfeld,Rechts-Fuss,1.86,BVB,1994-01-12,Rechts-Fuss,1.86,4,2020,9300000,14000000,26000000,"€ 25,000,000",2020,"€ 12,000,000","€ 2,014",Vereinswechsel
30,Felix,Passlack,BVB,Mittelfeld,Rechts-Fuss,1.7,BVB,1998-05-29,Rechts-Fuss,1.7,2,2021,943000,1500000,2500000,"€ 500,000",2018 (Leihgebühr),€ 0,"€ 2,012",Vereinswechsel
32,Abdoulaye,Kamara,BVB,Mittelfeld,Rechts-Fuss,1.83,BVB,2004-11-06,Rechts-Fuss,1.83,3,2021,0,1000000,1000000,€ 0,2021,€ 0,"€ 2,019",Jugendzuwachs
42,Göktan,Gürpüz,BVB,Mittelfeld,Rechts-Fuss,1.75,BVB,2003-01-22,Rechts-Fuss,1.75,1,2021,0,250000,250000,€ 0,2022,€ 0,"€ 2,020",Jugendzuwachs
9,Sébastien,Haller,BVB,Sturm,Rechts-Fuss,1.91,BVB,1994-06-22,Rechts-Fuss,1.91,4,2022,2000000,35000000,27000000,"€ 31,000,000",2022,"€ 22,500,000","€ 2,021",Vereinswechsel
18,Youssoufa,Moukoko,BVB,Sturm,Links-Fuss,1.79,BVB,2004-11-20,Links-Fuss,1.79,3,2020,360000,15000000,18000000,€ 0,2020,€ 0,"€ 2,019",Jugendzuwachs
20,Anthony,Modeste,BVB,Sturm,Rechts-Fuss,1.88,BVB,1988-04-14,Rechts-Fuss,1.88,1,2022,2300000,4000000,2000000,"€ 5,100,000",2022,"€ 29,000,000","€ 2,018",Vereinswechsel
21,Donyell,Malen,BVB,Sturm,Rechts-Fuss,1.78,BVB,1999-01-19,Rechts-Fuss,1.78,5,2021,366000,27000000,30000000,"€ 30,000,000",2021,"€ 600,000","€ 2,017",Vereinswechsel
27,Karim,Adeyemi,BVB,Sturm,Links-Fuss,1.8,BVB,2002-01-18,Links-Fuss,1.8,5,2022,0,35000000,35000000,"€ 30,000,000",2022,"€ 10,100,000","€ 2,018",Vereinswechsel
